metabolite,metabolite_name,fungi_id,bac_id,fungi_rxn_id,bac_rxn_id
salcn,salicin,salcn_e,salcn[e],UF03449_E,EX_salcn(e)
salltn,allantoin,salltn_e,alltn[e],UF03187_E,EX_alltn(e)
sbtD,D-sorbitol,sbtD_e,sbt_D[e],UF03451_E,EX_sbt_D(e)
serL,L-serine zwitterion,serL_e,ser_L[e],UF03454_E,EX_ser_L(e)
sheme,siroheme(8-),sheme_e,sheme[e],UF03017_E,EX_sheme(e)
so3,sulfite,so3_e,so3[e],UF03455_E,EX_so3(e)
so4,sulfate,so4_e,so4[e],UF03456_E,EX_so4(e)
spmd,spermidine(3+),spmd_e,spmd[e],UF02799_E,EX_spmd(e)
sprm,spermine(4+),sprm_e,sprm[e],UF02802_E,EX_sprm(e)
srbL,L-sorbopyranose,srbL_e,srb_L[e],UF03462_E,EX_srb_L(e)
succ,succinate(2-),succ_e,succ[e],UF02804_E,EX_succ(e)
sucr,sucrose,sucr_e,sucr[e],UF03468_E,EX_sucr(e)
taur,taurine zwitterion,taur_e,taur[e],UF03472_E,EX_taur(e)
tda,tetradecanoate,tda_e,ttdca[e],UF02982_E,EX_ttdca(e)
thm,thiamine(1+),thm_e,thm[e],UF03477_E,EX_thm(e)
thm,thiamine(1+),thm_e,thm[e],UF03477_E,EX_thm(e)_II
thrL,L-threonine zwitterion,thrL_e,thr_L[e],UF03479_E,EX_thr_L(e)
thym,thymine,thym_e,thym[e],UF02816_E,EX_thym(e)
thymd,thymidine,thymd_e,thymd[e],UF02815_E,EX_thymd(e)
tol,toluene,tol_e,tln[e],UF03482_E,EX_tln(e)
tre,"alpha,alpha-trehalose",tre_e,tre[e],UF03484_E,EX_tre(e)
trpL,L-tryptophan  zwitterion,trpL_e,trp_L[e],UF02823_E,EX_trp_L(e)
tym,tyraminium(1+),tym_e,tym[e],UF03486_E,EX_tym(e)
tyrL,L-tyrosine zwitterion,tyrL_e,tyr_L[e],UF02826_E,EX_tyr_L(e)
ura,Uracil,ura_e,ura[e],UF02829_E,EX_ura(e)
urea,urea,urea_e,urea[e],UF03492_E,EX_urea(e)
uri,uridine,uri_e,uri[e],UF02832_E,EX_uri(e)
valL,L-valine zwitterion,valL_e,val_L[e],UF03496_E,EX_val_L(e)
xan,9H-xanthine,xan_e,xan[e],UF02839_E,EX_xan(e)
xtsn,xanthosine,xtsn_e,xtsn[e],UF02840_E,EX_xtsn(e)
xylD,D-xylose,xylD_e,xyl_D[e],UF03503_E,EX_xyl_D(e)
xylt,xylitol,xylt_e,xylt[e],UF03504_E,EX_xylt(e)
