source,reaction,flux,required_by_n_species,completion_max_required_flux,metabolite,global_id,Metabolon ID,original_vmh_id,corrected_vmh_id,id_mapping_note,reaction_mapping_note,curation_class,curation_priority
Kindschuh_2023_GVM,EX_4hbz_m,1000,44,7.94e-06,4hbz,EX_4hbz_m,salicylate,4hbz,4hbz,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_gsn_m,1000,43,0.030640064,gsn,EX_gsn_m,guanosine,gsn,gsn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_pro_L_m,1000,43,0.008106643,pro_L,EX_pro_L_m,proline,pro_L,pro_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ser_L_m,1000,43,0.003975504,ser_L,EX_ser_L_m,serine,ser_L,ser_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_thr_L_m,1000,35,0.03159248,thr_L,EX_thr_L_m,threonine,thr_L,thr_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ade_m,1000,32,0.000325334,ade,EX_ade_m,adenine,ade,ade,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_met_L_m,1000,32,0.001193525,met_L,EX_met_L_m,methionine,met_L,met_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_asn_L_m,1000,31,0.003870697,asn_L,EX_asn_L_m,asparagine,asn_L,asn_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_malt_m,1000,31,0.020235175,malt,EX_malt_m,maltose,malt,malt,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_metsox_S_L_m,1000,31,0.000208166,metsox_S_L,EX_metsox_S_L_m,methionine sulfoxide,metsox_S_L,metsox_S_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_csn_m,1000,24,0.000232021,csn,EX_csn_m,cytosine,csn,csn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ala_L_m,1000,23,0.001974775,ala_L,EX_ala_L_m,alanine,ala_L,ala_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ins_m,1000,22,0.020839228,ins,EX_ins_m,inosine,ins,ins,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ncam_m,1000,21,1.59e-05,ncam,EX_ncam_m,nicotinamide,ncam,ncam,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_orn_m,1000,20,0.001074665,orn,EX_orn_m,ornithine,orn,orn,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_glc_D_m,1000,19,0.028381032,glc_D,EX_glc_D_m,glucose,glc_D,glc_D,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_gln_L_m,1000,18,0.001140118,gln_L,EX_gln_L_m,glutamine,gln_L,gln_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_fru_m,1000,16,0.041536051,fru,EX_fru_m,fructose,fru,fru,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_glu_L_m,1000,16,0.011157001,glu_L,EX_glu_L_m,glutamate,glu_L,glu_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_arab_D_m,1000,15,0.002044416,arab_D,EX_arab_D_m,arabinose,arab_D,arab_D,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_cys_L_m,1000,14,0.000213237,cys_L,EX_cys_L_m,cysteine,cys_L,cys_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_cit_m,1000,12,0.03751821,cit,EX_cit_m,citrate,cit,cit,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_uri_m,1000,12,0.00613988,uri,EX_uri_m,uridine,uri,uri,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_asp_L_m,1000,8,0.004847211,asp_L,EX_asp_L_m,aspartate,asp_L,asp_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_g6p_m,1000,7,0.001242153,g6p,EX_g6p_m,glucose 6-phosphate,g6p,g6p,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_gly_m,1000,7,0.000694077,gly,EX_gly_m,glycine,gly,gly,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
