sample_id,Kingdom,Genus,Species,id,condition,prob_weights,reads,abundance,file
C29,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,42.0,0.0012990226401088344,Lactobacillus_plantarum_16.xml|Lactobacillus_plantarum_ERR2221349.xml|Lactobacillus_plantarum_IPLA88.xml|Lactobacillus_plantarum_JDM1.xml|Lactobacillus_plantarum_UCMA_3037.xml|Lactobacillus_plantarum_WCFS1.xml|Lactobacillus_plantarum_ZJ316.xml|Lactobacillus_plantarum_subsp_plantarum_ATCC_14917.xml|Lactobacillus_plantarum_subsp_plantarum_NC8.xml|Lactobacillus_plantarum_subsp_plantarum_P_8.xml|Lactobacillus_plantarum_subsp_plantarum_ST_III.xml
C29,Bacteria,Lactobacillus,Lactobacillus crispatus,Lactobacillus crispatus,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,12957.8,0.40077322776196944,Lactobacillus_crispatus_125_2_CHN.xml|Lactobacillus_crispatus_214_1.xml|Lactobacillus_crispatus_CTV_05.xml|Lactobacillus_crispatus_FB049_03.xml|Lactobacillus_crispatus_FB077_07.xml|Lactobacillus_crispatus_JV_V01.xml|Lactobacillus_crispatus_MV_1A_US.xml|Lactobacillus_crispatus_MV_3A_US.xml|Lactobacillus_crispatus_ST1.xml
C29,Bacteria,Lactobacillus,Lactobacillus iners,Lactobacillus iners,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,4699.0,0.14533589013980022,Lactobacillus_iners_7_1_47FAA.xml|Lactobacillus_iners_AB_1.xml|Lactobacillus_iners_ATCC_55195.xml|Lactobacillus_iners_DSM_13335.xml|Lactobacillus_iners_LEAF_2052A_d.xml|Lactobacillus_iners_LEAF_2053A_b.xml|Lactobacillus_iners_LEAF_2062A_h1.xml|Lactobacillus_iners_LEAF_3008A_a.xml|Lactobacillus_iners_LactinV_03V1_b.xml|Lactobacillus_iners_LactinV_09V1_c.xml|Lactobacillus_iners_LactinV_11V1_d.xml|Lactobacillus_iners_SPIN_1401G.xml|Lactobacillus_iners_SPIN_2503V10_D.xml|Lactobacillus_iners_UPII_143_D.xml|Lactobacillus_iners_UPII_60_B.xml
C29,Bacteria,Streptococcus,Streptococcus anginosus,Streptococcus anginosus,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,345.0,0.010670543115180042,Streptococcus_anginosus_1_2_62CV.xml|Streptococcus_anginosus_CCUG_39159.xml|Streptococcus_anginosus_ERR2221320.xml|Streptococcus_anginosus_F0211.xml|Streptococcus_anginosus_SK1138.xml|Streptococcus_anginosus_SK52.xml
C29,Bacteria,Streptococcus,Streptococcus pyogenes,Streptococcus pyogenes,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,11.0,0.00034022021526657206,Streptococcus_pyogenes_A20.xml|Streptococcus_pyogenes_ATCC_10782.xml|Streptococcus_pyogenes_Alab49.xml|Streptococcus_pyogenes_M1_GAS.xml|Streptococcus_pyogenes_MGAS10394.xml|Streptococcus_pyogenes_MGAS315.xml|Streptococcus_pyogenes_MGAS8232.xml|Streptococcus_pyogenes_MGAS9429.xml|Streptococcus_pyogenes_SSI_1.xml|Streptococcus_pyogenes_str_Manfredo.xml
C29,Bacteria,Hungatella,Hungatella hathewayi,Hungatella hathewayi,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,73.0,0.0022578250649510963,Clostridium_hathewayi_DSM_13479.xml|Clostridium_hathewayi_WAL_18680.xml
C29,Bacteria,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,10.0,0.00030929110478782,Faecalibacterium_prausnitzii_ERR1022279.xml|Faecalibacterium_prausnitzii_ERR1022327.xml|Faecalibacterium_prausnitzii_ERR1022484.xml|Faecalibacterium_prausnitzii_ERR2221188.xml
C29,Bacteria,Finegoldia,Finegoldia magna,Finegoldia magna,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,11.0,0.00034022021526657206,Finegoldia_magna_ACS_171_V_Col3.xml|Finegoldia_magna_ATCC_29328.xml|Finegoldia_magna_ATCC_53516.xml|Finegoldia_magna_BVS033A4.xml|Finegoldia_magna_SY403409CC001050417.xml
C29,Bacteria,Ralstonia,Ralstonia insidiosa,Ralstonia insidiosa,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,17.0,0.000525794878139284,Ralstonia_insidiosa_FC1138.xml
C29,Bacteria,Escherichia,Escherichia coli,Escherichia coli,0.10-cal-0.40-probiotic,Lactobacillus crispatus:1.00,59.0,0.0018248175182481682,Escherichia_coli_BW25113.xml|Escherichia_coli_D9.xml|Escherichia_coli_ERR1203920.xml|Escherichia_coli_ERR2221112.xml|Escherichia_coli_ERR2221113.xml|Escherichia_coli_ERR2221128.xml|Escherichia_coli_ERR2221214.xml|Escherichia_coli_ERR2221221.xml|Escherichia_coli_ERR2221222.xml|Escherichia_coli_ERR2221227.xml|Escherichia_coli_ERR2221250.xml|Escherichia_coli_ERR2221318.xml|Escherichia_coli_ERR2221398.xml|Escherichia_coli_ERR2221401.xml|Escherichia_coli_FDAARGOS_170.xml|Escherichia_coli_KTE142.xml|Escherichia_coli_MS_79_10.xml|Escherichia_coli_Mt1B1.xml|Escherichia_coli_O157_H7_str_2149.xml|Escherichia_coli_P12b.xml
